Airline_Name,Food_&_Beverages,Inflight_Entertainment,Seat_Comfort,Staff_Service,Value_for_Money,Review_Count,Rating
Surinam Airways,3,2,3,3,3,20,6
SVG Air,0,0,3,4,3,1,6
Swiss Intl Air Lines,4,3,3,4,3,813,6
Swoop,2,2,3,3,2,444,4
SyrianAir,0,0,0,0,4,23,3
T'Way Air,0,1,2,3,3,8,4
TAAG Angola Airlines,3,2,3,3,3,44,5
TACA Airlines,3,2,4,4,4,80,7
TACA Regional,0,0,0,0,2,3,6
TACV Cabo Verde Airlines,2,1,3,3,2,24,3
TAG Airlines,4,1,3,4,2,5,4
Tailwind Airlines,4,0,3,2,3,3,5
Tajik Air,0,0,0,0,0,4,0
TAM Airlines,3,3,3,3,3,226,5
TAME,1,1,2,2,1,37,2
Tame Línea Aérea Del Ecuador,1,1,2,2,2,12,2
TAP Portugal,3,2,3,3,3,1022,4
TAR Aerolineas,2,1,3,4,3,6,4
TAROM Romanian,4,2,3,4,3,152,6
Thai AirAsia,3,2,3,3,3,72,5
Thai Airways,4,3,4,4,4,875,7
Thai Lion Air,2,1,2,2,2,135,3
Thai Smile Airways,4,3,4,4,4,93,7
Thomas Cook Airlines,3,2,3,3,3,642,5
Thomas Cook Airlines Belgium,5,3,4,4,3,5,5
Thomas Cook Airlines Scandinavia,3,3,3,3,3,9,6
Thomson Airways,3,2,3,3,3,586,6
Tianjin Airlines,3,2,3,4,4,15,7
Tibet Airlines,3,3,4,4,4,1,8
Tigerair,2,1,3,3,3,183,6
Tigerair Australia,2,1,2,2,2,506,3
Tigerair Taiwan,5,3,3,3,3,7,4
Titan Airways,4,3,4,4,4,24,7
Transaero Airlines,2,1,3,3,3,55,5
TransAsia Airways,0,0,0,0,4,7,8
Transavia,2,2,3,3,3,185,4
Trigana Air,3,0,4,4,4,2,8
Tropic Air Belize,0,0,4,5,5,2,8
TUI Airways,3,2,3,3,3,45,5
TUIfly,2,2,2,3,3,59,4
TUIfly Nordic,4,2,1,4,1,1,5
Tunisair,2,1,3,3,3,78,5
Turkish Airlines,3,3,3,3,3,1793,5
Turkmenistan Airlines,3,1,3,3,3,39,4
Ukraine International,2,1,2,3,3,382,4
United Airlines,2,2,2,2,2,3410,3
UP by El Al,2,2,2,2,3,4,4
Ural Airlines,3,1,3,3,3,18,4
US Airways,2,2,3,3,3,460,4
US-Bangla Airlines,5,0,3,4,4,6,6
Utair Aviation,2,1,2,2,3,10,6
Uzbekistan Airways,3,2,3,3,3,65,5
V Air,4,3,3,3,3,7,5
Vanilla Air,2,1,3,3,3,13,5
ViaAir,3,3,2,2,1,11,2
VietJet Air,2,1,2,2,2,398,3
Vietnam Airlines,3,2,3,3,4,621,6
Virgin America,3,4,4,3,3,310,7
Virgin Atlantic,3,3,3,3,3,768,5
Virgin Australia,3,3,3,3,3,830,5
Vistara,4,3,4,5,4,123,8
Viva Air,1,1,1,1,1,39,1
VivaAerobús,2,1,2,2,2,29,2
VivaColombia,1,1,2,1,2,44,2
VLM Airlines,4,0,4,5,4,46,5
Volaris,2,1,2,2,2,209,3
Volotea,2,1,3,3,2,115,3
Vueling Airlines,2,1,2,2,2,1089,3
Wamos Air,2,2,2,2,2,14,3
WestJet Airlines,3,2,3,3,3,597,4
Wideroe,2,0,3,3,2,13,4
Winair,0,0,2,2,1,3,3
Wingo,3,0,3,4,2,7,3
Wings Air,1,1,3,2,2,18,4
Wizz Air,2,1,2,3,2,952,4
WOW air,2,1,2,2,2,579,3
Xiamen Airlines,3,3,3,3,3,114,5
XL Airways France,3,2,2,3,3,78,5
Yakutia Airlines,3,0,3,3,4,4,6
Yangon Airways,4,0,5,4,4,4,9
Yemenia,0,0,0,0,4,24,4
Yeti Airlines,3,0,3,3,4,3,6
